2021-12-31 09:57:10.678 INFO  --- [main,springAppName_IS_UNDEFINED,,] c.e.l.LogPerformanceTestApplicationTests : Starting LogPerformanceTestApplicationTests using Java 11.0.13 on AP-1121-1004.local with PID 77069 (started by tuannguyen in /Users/tuannguyen/Desktop/log-performance-test)
2021-12-31 09:57:10.679 INFO  --- [main,springAppName_IS_UNDEFINED,,] c.e.l.LogPerformanceTestApplicationTests : No active profile set, falling back to default profiles: default
2021-12-31 09:57:11.929 INFO  --- [main,springAppName_IS_UNDEFINED,,] c.e.l.LogPerformanceTestApplicationTests : Started LogPerformanceTestApplicationTests in 1.658 seconds (JVM running for 2.593)
2021-12-31 10:17:41.389 INFO  --- [main,springAppName_IS_UNDEFINED,,] c.e.l.LogPerformanceTestApplication : Starting LogPerformanceTestApplication using Java 11.0.13 on AP-1121-1004.local with PID 77486 (/Users/tuannguyen/Desktop/log-performance-test/target/classes started by tuannguyen in /Users/tuannguyen/Desktop/log-performance-test)
2021-12-31 10:17:41.390 INFO  --- [main,springAppName_IS_UNDEFINED,,] c.e.l.LogPerformanceTestApplication : The following profiles are active: dev
2021-12-31 10:17:41.872 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
2021-12-31 10:17:41.877 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2021-12-31 10:17:41.878 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.a.catalina.core.StandardService : Starting service [Tomcat]
2021-12-31 10:17:41.878 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.56]
2021-12-31 10:17:41.914 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2021-12-31 10:17:41.914 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 497 ms
2021-12-31 10:17:42.094 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2021-12-31 10:17:42.127 INFO  --- [main,springAppName_IS_UNDEFINED,,] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path ''
2021-12-31 10:17:42.142 INFO  --- [main,springAppName_IS_UNDEFINED,,] c.e.l.LogPerformanceTestApplication : Started LogPerformanceTestApplication in 1.01 seconds (JVM running for 1.564)
